Prompt Number,File A,File B,Cosine Similarity
106,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.880130
107,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.899615
108,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.855658
109,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.860635
110,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.813954
111,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.899593
112,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.892787
113,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.854223
114,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.900403
115,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.904109
116,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.687478
117,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.856687
118,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.905585
119,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.895007
120,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.854675
121,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.923550
122,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.902647
123,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.888819
124,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.905092
125,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.875990
126,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.887556
127,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.875965
128,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.893407
129,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.889255
130,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.846308
131,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.823289
132,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.863985
133,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.881251
134,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.886991
135,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.854943
136,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.864932
137,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.852658
138,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.888579
139,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.892751
140,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.811872
141,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.893852
142,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.909527
143,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.791536
144,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.853893
145,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.868527
146,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.859187
147,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.850776
148,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.891180
149,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.907685
150,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.898043
151,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.909945
152,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.894407
153,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.891377
154,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.874432
155,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.893495
156,initial_prompts_with_responses_gpt.csv,initial_prompts_with_responses_claude.csv,0.892490
